E_A_max,E_B_max,k_A,k_B,D_1,D_2,bvp1_S3_yield,bvp2_S3_yield
8.939004512,1.060995488,5.644378758,22.30980437,3.08E-08,1.59E-07,0.4276987,0.495994485
8.13341813,1.86658187,3.414124005,251.8240448,2.08E-06,3.94E-07,0.988867408,0.973125957
6.988864156,3.011135844,82.9359521,2.303367222,3.69E-06,3.65E-08,999,999
8.126339927,1.873660073,16.29191971,9.891629341,5.79E-08,9.24E-06,0.774837966,0.899982763
8.147573118,1.852426882,555.3412677,13.35500835,5.71E-06,2.85E-06,0.976555299,0.975134133
5.150866883,4.849133117,132.1922442,0.262977664,2.31E-07,1.68E-06,-0.589094623,-0.573716971
3.527432415,6.472567585,8.269481053,3.928348662,6.46E-07,2.55E-07,0.796694416,0.718335622
7.176099457,2.823900543,3.202122144,467.0363572,8.99E-06,2.87E-08,0.971554915,-0.092113107
6.293290105,3.706709895,884.1504651,33.36790662,1.22E-07,5.78E-06,1.000199988,1.000199985
3.989261831,6.010738169,74.30891909,0.512892478,2.75E-06,1.06E-07,999,-0.240507748
1.755733344,8.244266656,637.9382461,2.266848743,9.02E-08,1.41E-08,999,999
6.974316891,3.025683109,0.297792879,0.583998913,2.50E-06,1.06E-07,-0.203037826,-0.22595265
3.099684127,6.900315873,252.426367,0.125687627,6.34E-07,2.42E-06,-0.702267321,-0.695055566
8.494505204,1.505494796,35.34235916,512.6746387,4.46E-08,7.38E-07,0.990506872,1.00009105
2.9277646,7.0722354,0.307387861,6.206250674,1.75E-07,1.79E-06,0.116979114,0.115013015
1.982063459,8.017936541,22.54405316,1.698792323,8.97E-08,2.40E-06,0.538331352,0.711824732
7.648901377,2.351098623,55.51181925,24.76901672,1.72E-08,4.32E-08,0.574614135,0.059445476
2.226274533,7.773725467,0.111998123,0.106968973,1.23E-08,5.91E-06,-0.034928773,-0.038248272
2.434146465,7.565853535,6.565561101,1.294459379,1.10E-07,2.06E-07,0.178345577,0.158718371
5.795062332,4.204937668,200.2617674,64.88343933,1.14E-08,8.26E-07,999,999
7.996496327,2.003503673,1.518574495,34.2830216,3.14E-08,1.02E-08,0.192035976,-0.478886553
2.571477326,7.428522674,6.826409346,845.7145261,1.50E-06,9.55E-06,0.954858918,0.961023773
3.482589383,6.517410617,5.878364451,30.29917745,1.33E-06,6.96E-08,0.909611313,0.344177498
