EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
0.9,9.1,0.09,0.91,0.010719054,0.798096279,10.71905416,798.0962794,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
1.166666667,8.833333333,0.116666667,0.883333333,0.009911345,0.838299101,9.911345261,838.2991006,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
1.433333333,8.566666667,0.143333333,0.856666667,0.009152839,0.866993436,9.152838527,866.993436,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
1.7,8.3,0.17,0.83,0.008462919,0.888504297,8.462918651,888.5042973,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
1.966666667,8.033333333,0.196666667,0.803333333,0.007842898,0.905180538,7.842897925,905.1805383,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
2.233333333,7.766666667,0.223333333,0.776666667,0.007288307,0.918431684,7.288307,918.4316838,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
2.5,7.5,0.25,0.75,0.006793037,0.929163861,6.793037141,929.1638615,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
2.6,7.4,0.26,0.74,0.006621324,0.932670653,6.621323731,932.670653,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
2.866666667,7.133333333,0.286666667,0.713333333,0.006197551,0.940899903,6.197551076,940.899903,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
3.133333333,6.866666667,0.313333333,0.686666667,0.00581912,0.94778139,5.819120248,947.78139,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
